record_id,workload_type,compute_demand_TFlops,storage_demand_TB,network_demand_Gbps,energy_source,energy_consumption_kWh,renewable_share_percent,carbon_emissions_kgCO2,qso_optimization_score,uncertainty_factor,security_level,pqc_enabled,energy_efficiency_index,service_quality_index,secure_operations_score,workload_scenario,scenario_strategy,operational_cost_usd,performance_metric
DC0150,Database Queries,434.1,139.3,51.83,Wind,20212.59,66.82,392.99,0.528,0.053,Quantum-Safe,0,0.572,0.664,0.643,Low,Conventional,47562.55,0.698
DC0151,Database Queries,410.37,69.87,27.13,Hybrid,37787.71,34.35,509.0,0.655,0.938,High,1,0.505,0.754,0.738,Peak,Energy-Efficient Focus,37027.01,0.892
DC0152,Web Hosting,136.37,195.15,83.63,Solar,7148.83,32.39,1014.02,0.233,0.53,Quantum-Safe,0,0.904,0.512,0.977,Medium,Balanced Approach,51175.62,0.899
DC0153,Cloud Storage,93.73,128.55,1.96,Hybrid,38865.8,94.79,1833.93,0.864,0.615,High,1,0.588,0.657,0.624,Renewable Boost,Carbon-Neutral Objective,102993.28,0.759
DC0154,AI Training,337.64,164.67,38.22,Hybrid,12609.73,36.84,462.84,0.309,0.482,Quantum-Safe,0,0.803,0.91,0.866,High,Balanced Approach,57879.67,0.684
DC0155,AI Training,465.39,27.37,34.07,Wind,34192.26,79.8,331.27,0.694,0.094,High,1,0.668,0.777,0.72,Low,Performance-Driven Strategy,189782.49,0.809
DC0156,Database Queries,282.81,172.54,2.42,Grid,28723.3,45.38,1530.0,0.016,0.768,Low,0,0.793,0.725,0.649,High,Balanced Approach,95453.72,0.969
DC0157,Cloud Storage,290.09,184.63,12.87,Solar,46528.09,22.53,1026.21,0.373,0.747,Low,0,0.658,0.643,0.728,High,Carbon-Neutral Objective,16465.22,0.856
DC0158,Database Queries,147.19,97.93,41.66,Hybrid,19978.8,10.96,1827.98,0.352,0.312,Low,0,0.543,0.649,0.536,High,Balanced Approach,147206.95,0.669
DC0159,Web Hosting,387.05,121.64,49.54,Wind,4242.09,58.98,335.9,0.543,0.306,Low,1,0.611,0.692,0.899,Low,Balanced Approach,69124.83,0.873
DC0160,Web Hosting,101.65,153.2,40.73,Wind,1938.62,97.82,1309.56,0.073,0.838,Low,0,0.594,0.918,0.622,High,Carbon-Neutral Objective,132430.34,0.771
DC0161,Web Hosting,168.6,35.79,53.33,Hybrid,41516.07,43.22,504.11,0.79,0.072,Medium,1,0.714,0.984,0.863,Low,Performance-Driven Strategy,59520.9,0.837
DC0162,AI Training,218.46,101.01,59.72,Wind,26712.05,42.15,355.68,0.218,0.881,High,1,0.829,0.719,0.534,Medium,Balanced Approach,116295.03,0.894
DC0163,Database Queries,258.73,80.33,1.49,Solar,38986.96,40.97,1382.69,0.677,0.257,Medium,0,0.632,0.697,0.978,Renewable Boost,Performance-Driven Strategy,155569.74,0.806
DC0164,Cloud Storage,128.78,30.13,46.68,Solar,12486.85,56.85,1207.69,0.803,0.593,High,1,0.506,0.923,0.597,High,Conventional,185961.7,0.926
DC0165,IoT Processing,66.27,74.14,96.37,Hybrid,17909.1,49.66,1521.91,0.562,0.936,High,1,0.759,0.713,0.941,Peak,Balanced Approach,55919.79,0.889
DC0166,Web Hosting,309.2,14.57,52.14,Hybrid,2475.09,89.19,653.45,0.741,0.678,High,0,0.803,0.776,0.905,Medium,Conventional,70297.11,0.846
DC0167,Cloud Storage,151.43,6.14,67.92,Grid,48113.12,55.5,923.54,0.662,0.414,High,1,0.981,0.615,0.984,Peak,Conventional,95531.95,0.66
DC0168,AI Training,294.81,27.9,31.53,Wind,33725.53,55.7,840.67,0.356,0.69,High,0,0.795,0.872,0.739,Peak,Balanced Approach,185799.09,0.934
DC0169,Database Queries,85.64,192.66,77.51,Grid,46727.05,22.45,1968.97,0.809,0.344,High,0,0.736,0.766,0.864,Renewable Boost,Conventional,180770.44,0.974
DC0170,AI Training,245.76,110.36,77.41,Hybrid,14009.32,98.45,619.89,0.295,0.277,Low,0,0.787,0.905,0.685,High,Energy-Efficient Focus,22526.26,0.655
DC0171,AI Training,270.97,193.2,52.37,Hybrid,30961.72,32.5,624.89,0.571,0.997,High,0,0.964,0.89,0.592,High,Balanced Approach,30726.32,0.795
DC0172,Web Hosting,35.39,87.07,97.61,Grid,34246.5,16.6,741.37,0.745,0.751,Medium,1,0.914,0.608,0.722,Peak,Balanced Approach,101624.29,0.704
DC0173,AI Training,174.94,63.05,12.99,Grid,16559.94,69.68,1150.96,0.379,0.645,Medium,1,0.661,0.858,0.583,Peak,Performance-Driven Strategy,25790.76,0.902
DC0174,IoT Processing,75.86,101.72,2.19,Grid,42557.35,63.58,542.03,0.303,0.355,Low,1,0.619,0.9,0.991,Peak,Carbon-Neutral Objective,72388.27,0.889
DC0175,Database Queries,41.05,88.46,77.13,Grid,47410.91,47.36,1834.82,0.459,0.049,Low,0,0.631,0.673,0.548,High,Balanced Approach,33935.15,0.656
DC0176,Cloud Storage,495.08,22.03,80.81,Wind,44357.9,48.0,568.09,0.818,0.031,Low,0,0.752,0.586,0.795,Low,Energy-Efficient Focus,129027.87,0.951
DC0177,AI Training,167.95,128.52,12.46,Solar,37214.28,80.66,1796.84,0.93,0.554,Quantum-Safe,1,0.872,0.501,0.813,High,Performance-Driven Strategy,190151.61,0.672
DC0178,IoT Processing,406.84,43.99,26.93,Wind,14595.77,27.61,251.78,0.545,0.762,Low,0,0.752,0.725,0.769,Low,Performance-Driven Strategy,199363.09,0.919
DC0179,Web Hosting,134.77,124.3,2.25,Solar,14799.19,83.82,1330.3,0.661,0.537,Quantum-Safe,0,0.534,0.676,0.831,Low,Carbon-Neutral Objective,78172.02,0.783
DC0180,Web Hosting,343.94,130.39,29.68,Wind,48204.66,68.39,1818.62,0.903,0.841,High,1,0.862,0.777,0.558,High,Balanced Approach,121807.46,0.731
DC0181,Database Queries,382.51,31.25,77.43,Hybrid,1503.94,47.71,379.06,0.099,0.033,High,0,0.903,0.594,0.778,High,Conventional,171972.19,0.663
DC0182,Cloud Storage,301.86,13.21,52.04,Solar,36086.45,51.22,1938.24,0.232,0.367,High,1,0.645,0.93,0.644,Renewable Boost,Energy-Efficient Focus,27905.1,0.667
DC0183,Cloud Storage,241.07,156.37,35.14,Hybrid,35606.06,33.1,933.12,0.709,0.237,Low,1,0.832,0.629,0.97,Medium,Balanced Approach,139465.06,0.865
DC0184,Web Hosting,211.8,92.5,37.49,Solar,31511.79,77.69,1894.14,0.824,0.447,Low,1,0.713,0.613,0.881,Peak,Conventional,84724.51,0.82
DC0185,Database Queries,180.95,12.57,0.63,Solar,49515.33,56.16,1369.8,0.857,0.072,Low,1,0.945,0.74,0.986,High,Carbon-Neutral Objective,45198.5,0.649
DC0186,AI Training,465.47,198.98,30.33,Grid,16282.09,38.88,638.09,0.415,0.954,High,0,0.923,0.749,0.519,Low,Conventional,83536.96,0.645
DC0187,Database Queries,417.0,12.5,64.82,Wind,17658.62,63.64,417.19,0.089,0.223,High,1,0.763,0.608,0.643,Renewable Boost,Performance-Driven Strategy,19812.26,0.629
DC0188,IoT Processing,482.86,139.31,97.43,Hybrid,4868.03,99.62,642.28,0.438,0.922,Low,0,0.846,0.636,0.598,High,Carbon-Neutral Objective,140604.39,0.898
DC0189,Web Hosting,70.91,196.75,84.78,Wind,22697.11,49.17,231.38,0.231,0.426,High,1,0.942,0.585,0.506,Renewable Boost,Carbon-Neutral Objective,54284.82,0.885
DC0190,AI Training,368.13,48.6,2.85,Wind,13791.38,92.86,330.54,0.291,0.986,High,0,0.748,0.859,0.621,High,Carbon-Neutral Objective,65724.1,0.623
DC0191,Database Queries,469.79,29.31,89.91,Solar,17825.95,41.05,254.09,0.772,0.554,Quantum-Safe,0,0.657,0.885,0.839,Peak,Energy-Efficient Focus,28610.85,0.824
DC0192,IoT Processing,98.8,25.16,78.43,Wind,41894.02,14.93,874.74,0.076,0.931,Medium,1,0.877,0.731,0.616,Low,Conventional,173608.53,0.634
DC0193,Web Hosting,42.58,61.35,78.15,Solar,46838.74,28.38,1601.38,0.828,0.005,Low,0,0.61,0.857,0.755,Medium,Balanced Approach,101221.63,0.961
DC0194,Database Queries,373.15,21.11,46.07,Solar,10100.92,47.68,325.7,0.428,0.748,Low,1,0.694,0.868,0.944,High,Carbon-Neutral Objective,116568.64,0.963
DC0195,Web Hosting,291.49,138.74,40.1,Wind,19252.94,29.77,304.12,0.596,0.903,Medium,1,0.933,0.569,0.847,Low,Performance-Driven Strategy,116039.37,0.879
DC0196,IoT Processing,422.5,13.4,30.64,Grid,46502.9,10.02,1304.69,0.09,0.14,Quantum-Safe,1,0.862,0.983,0.697,Renewable Boost,Performance-Driven Strategy,85046.16,0.97
DC0197,Database Queries,78.49,102.38,7.04,Solar,4028.61,92.35,434.51,0.337,0.096,Low,1,0.702,0.911,0.686,Peak,Performance-Driven Strategy,42543.33,0.925
DC0198,Database Queries,399.68,199.34,23.21,Hybrid,5525.67,85.95,240.34,0.09,0.425,Quantum-Safe,1,0.607,0.602,0.728,High,Energy-Efficient Focus,150300.89,0.931
DC0199,Cloud Storage,108.8,162.98,25.04,Grid,8976.76,76.81,375.35,0.962,0.934,Medium,0,0.678,0.593,0.589,Peak,Performance-Driven Strategy,29775.97,0.828
DC0200,Web Hosting,90.19,123.43,48.67,Wind,30165.43,25.1,1851.28,0.807,0.542,Low,0,0.642,0.563,0.817,Medium,Performance-Driven Strategy,25255.39,0.722
DC0201,Web Hosting,90.49,61.94,74.87,Hybrid,8373.14,20.83,1651.87,0.46,0.527,High,0,0.588,0.569,0.682,Peak,Conventional,143478.28,0.687
DC0202,IoT Processing,409.14,125.16,47.64,Grid,48435.74,16.08,740.43,0.224,0.141,Medium,1,0.872,0.874,0.926,Medium,Balanced Approach,45723.22,0.731
DC0203,Cloud Storage,335.95,105.88,6.26,Wind,22889.01,75.16,1328.85,0.933,0.001,Quantum-Safe,0,0.626,0.735,0.878,High,Carbon-Neutral Objective,64820.69,0.851
DC0204,Web Hosting,266.3,85.79,95.8,Solar,25574.38,93.59,1097.69,0.345,0.81,Quantum-Safe,1,0.727,0.891,0.805,High,Performance-Driven Strategy,97669.36,0.669
DC0205,Cloud Storage,185.83,27.01,94.3,Solar,13086.27,48.75,1370.39,0.161,0.088,Low,0,0.693,0.873,0.682,High,Performance-Driven Strategy,92623.51,0.703
DC0206,IoT Processing,439.83,177.43,78.63,Grid,24077.05,20.72,1381.21,0.563,0.634,Low,0,0.991,0.802,0.605,Medium,Energy-Efficient Focus,143172.93,0.787
DC0207,IoT Processing,202.3,90.51,99.14,Wind,33433.77,56.12,1276.03,0.944,0.915,High,0,0.696,0.843,0.888,Renewable Boost,Conventional,126569.2,0.693
DC0208,Database Queries,410.13,39.73,54.68,Solar,37807.68,41.39,568.9,0.004,0.209,High,1,0.54,0.509,0.743,High,Energy-Efficient Focus,130657.25,0.835
DC0209,Web Hosting,225.18,74.18,96.3,Grid,37939.54,43.73,126.06,0.238,0.665,Medium,1,0.545,0.656,0.612,Renewable Boost,Performance-Driven Strategy,144240.59,0.969
DC0210,Web Hosting,194.7,83.41,8.02,Solar,29316.66,65.92,938.36,0.938,0.079,High,1,0.795,0.819,0.598,Renewable Boost,Carbon-Neutral Objective,62059.48,0.899
DC0211,Cloud Storage,236.71,165.68,36.89,Solar,45313.63,74.68,1787.4,0.171,0.604,High,0,0.8,0.505,0.583,Peak,Carbon-Neutral Objective,67855.0,0.867
DC0212,Cloud Storage,157.68,146.99,22.93,Hybrid,41052.98,19.95,1160.52,0.113,0.164,Quantum-Safe,1,0.709,0.516,0.889,Medium,Balanced Approach,90409.56,0.833
DC0213,Cloud Storage,376.33,154.09,19.99,Grid,38095.36,13.2,1673.16,0.57,0.736,High,0,0.716,0.926,0.614,High,Balanced Approach,64955.12,0.795
DC0214,Web Hosting,256.33,3.2,14.51,Wind,3724.67,99.49,1983.67,0.862,0.301,Quantum-Safe,1,0.527,0.842,0.763,High,Balanced Approach,197062.88,0.675
DC0215,AI Training,123.78,83.81,62.43,Hybrid,1337.02,30.95,369.05,0.477,0.463,Medium,0,0.758,0.633,0.726,Low,Energy-Efficient Focus,163740.13,0.958
DC0216,Cloud Storage,450.79,96.79,78.24,Hybrid,11409.92,14.84,1398.97,0.995,0.599,Medium,0,0.752,0.844,0.79,Peak,Balanced Approach,37107.66,0.699
DC0217,Database Queries,198.11,4.82,58.04,Solar,33512.66,27.09,1364.87,0.679,0.171,High,0,0.575,0.896,0.939,High,Carbon-Neutral Objective,6090.86,0.637
DC0218,Web Hosting,276.34,52.7,15.12,Solar,21148.68,13.51,1960.91,0.074,0.742,High,1,0.552,0.653,0.934,Peak,Balanced Approach,13342.74,0.9
DC0219,AI Training,454.17,152.3,81.21,Wind,20717.91,45.26,1971.92,0.993,0.303,Low,0,0.562,0.518,0.726,Renewable Boost,Performance-Driven Strategy,52592.37,0.67
DC0220,Database Queries,315.88,28.28,63.78,Solar,44344.76,82.22,1389.02,0.408,0.662,Low,1,0.551,0.966,0.508,Renewable Boost,Energy-Efficient Focus,27286.8,0.749
DC0221,Web Hosting,67.28,107.53,39.12,Solar,44882.58,40.71,525.05,0.287,0.158,Low,0,0.805,0.673,0.713,Low,Energy-Efficient Focus,109000.93,0.611
DC0222,AI Training,470.52,43.83,67.58,Hybrid,45549.59,49.98,1607.18,0.558,0.688,Low,1,0.598,0.553,0.803,Low,Energy-Efficient Focus,172309.07,0.655
DC0223,Web Hosting,317.58,3.41,26.36,Hybrid,16380.03,70.8,258.71,0.304,0.128,High,0,0.626,0.746,0.779,Low,Conventional,148666.29,0.669
DC0224,Cloud Storage,174.1,49.0,34.85,Grid,34861.73,55.8,1572.36,0.086,0.425,Low,1,0.587,0.884,0.826,Renewable Boost,Conventional,47043.77,0.622
DC0225,AI Training,78.24,195.2,91.79,Hybrid,14310.03,87.53,1824.88,0.001,0.247,Quantum-Safe,0,0.979,0.611,0.577,Renewable Boost,Carbon-Neutral Objective,82863.35,0.863
DC0226,Web Hosting,399.07,160.51,29.41,Wind,10339.88,87.94,796.53,0.45,0.748,Low,0,0.927,0.635,0.823,High,Conventional,104039.37,0.935
DC0227,Cloud Storage,313.84,191.96,47.26,Grid,10046.99,10.89,1279.74,0.837,0.262,Medium,0,0.615,0.621,0.591,Peak,Conventional,162990.14,0.749
DC0228,Web Hosting,271.4,98.08,89.07,Solar,17763.27,80.02,888.78,0.572,0.882,Medium,1,0.664,0.996,0.875,Renewable Boost,Energy-Efficient Focus,168628.71,0.95
DC0229,Web Hosting,448.01,22.84,70.92,Hybrid,22067.92,51.47,903.64,0.999,0.892,High,0,0.605,0.599,0.67,High,Balanced Approach,182395.07,0.685
DC0230,Database Queries,396.41,110.04,6.69,Solar,41716.51,99.0,655.22,0.287,0.196,High,0,0.746,0.788,0.855,Low,Energy-Efficient Focus,104302.82,0.73
DC0231,Database Queries,84.32,91.42,15.16,Hybrid,6874.66,53.49,1536.15,0.28,0.614,Low,0,0.51,0.963,0.524,Low,Performance-Driven Strategy,140383.58,0.66
DC0232,IoT Processing,162.74,169.03,1.28,Hybrid,37011.37,98.82,1875.54,0.16,0.088,High,0,0.836,0.573,0.704,Low,Balanced Approach,26801.07,0.848
DC0233,IoT Processing,131.76,20.52,63.28,Solar,27041.29,77.91,1884.46,0.164,0.392,Low,0,0.762,0.985,0.853,Peak,Performance-Driven Strategy,115231.35,0.768
DC0234,Cloud Storage,374.53,98.16,45.04,Hybrid,15109.32,32.37,390.82,0.285,0.713,High,1,0.949,0.974,0.613,Low,Performance-Driven Strategy,53494.9,0.845
DC0235,Cloud Storage,26.43,30.86,13.86,Grid,25148.16,58.46,1755.75,0.793,0.659,Low,1,0.582,0.942,0.898,Medium,Carbon-Neutral Objective,89184.79,0.905
DC0236,Database Queries,289.25,65.61,95.81,Grid,15697.16,99.29,1487.99,0.906,0.625,Medium,1,0.902,0.607,0.815,High,Energy-Efficient Focus,128639.85,0.818
DC0237,Database Queries,383.6,147.73,53.2,Hybrid,30208.02,87.18,543.03,0.975,0.283,High,1,0.896,0.817,0.794,Renewable Boost,Balanced Approach,55112.26,0.851
DC0238,IoT Processing,439.62,95.73,24.57,Grid,22258.35,18.76,181.2,0.232,0.378,Medium,0,0.564,0.88,0.677,High,Carbon-Neutral Objective,15176.09,0.974
DC0239,Cloud Storage,177.62,75.8,50.31,Solar,9055.87,73.57,572.59,0.881,0.103,Quantum-Safe,0,0.699,0.993,0.741,Renewable Boost,Conventional,6995.6,0.72
DC0240,Cloud Storage,412.42,79.5,68.12,Hybrid,6712.57,41.1,1828.81,0.328,0.719,Medium,1,0.585,0.59,0.799,Peak,Energy-Efficient Focus,9321.11,0.744
DC0241,Web Hosting,64.21,92.43,8.09,Hybrid,27788.09,10.63,1284.7,0.113,0.504,Low,1,0.627,0.883,0.736,Renewable Boost,Balanced Approach,6628.2,0.887
DC0242,Cloud Storage,424.76,157.22,27.83,Hybrid,45218.24,46.31,1456.06,0.87,0.709,Medium,0,0.632,0.669,0.849,Medium,Energy-Efficient Focus,26519.24,0.845
DC0243,AI Training,72.47,178.52,80.79,Wind,17853.93,31.13,551.45,0.636,0.249,Medium,0,0.778,0.588,0.717,Medium,Carbon-Neutral Objective,51700.3,0.671
DC0244,AI Training,204.67,191.11,46.24,Solar,36917.01,83.7,1452.81,0.165,0.324,Low,1,0.706,0.711,0.601,Renewable Boost,Performance-Driven Strategy,48138.2,0.75
DC0245,Database Queries,400.67,157.59,54.88,Solar,33274.41,40.36,104.84,0.43,0.334,Quantum-Safe,1,0.974,0.897,0.607,Low,Energy-Efficient Focus,197425.34,0.787
DC0246,IoT Processing,83.46,63.77,43.57,Hybrid,46646.19,84.48,781.88,0.287,0.026,Low,0,0.563,0.732,0.503,Medium,Performance-Driven Strategy,64671.19,0.768
DC0247,Cloud Storage,122.33,137.94,4.87,Hybrid,41228.07,10.05,1272.17,0.737,0.341,Quantum-Safe,1,0.987,0.769,0.65,High,Balanced Approach,29847.05,0.671
DC0248,Web Hosting,363.9,88.08,16.99,Solar,28763.66,37.7,334.89,0.453,0.803,Low,1,0.615,0.998,0.874,Renewable Boost,Energy-Efficient Focus,111384.7,0.97
DC0249,AI Training,362.82,51.68,44.83,Hybrid,33194.49,31.7,1654.86,0.989,0.897,Medium,0,0.886,0.7,0.897,Medium,Energy-Efficient Focus,172301.7,0.905
DC0250,Web Hosting,324.16,168.33,21.31,Hybrid,45020.94,31.02,508.31,0.055,0.518,Quantum-Safe,1,0.669,0.808,0.601,Low,Conventional,137221.77,0.793
DC0251,IoT Processing,350.03,8.65,5.47,Solar,20576.42,16.14,1321.95,0.355,0.456,Low,0,0.572,0.683,0.98,Low,Balanced Approach,62736.01,0.872
DC0252,AI Training,275.93,180.45,84.44,Grid,17012.94,26.84,840.13,0.482,0.031,High,0,0.929,0.696,0.751,Low,Balanced Approach,114515.15,0.959
DC0253,AI Training,133.38,92.83,98.13,Solar,1529.74,60.0,1212.29,0.503,0.879,Quantum-Safe,0,0.654,0.848,0.958,Low,Performance-Driven Strategy,144396.91,0.654
DC0254,Web Hosting,179.39,127.8,79.42,Hybrid,41501.0,36.22,259.53,0.316,0.013,High,0,0.829,0.969,0.853,Low,Energy-Efficient Focus,146980.38,0.7
DC0255,Database Queries,98.98,132.21,85.45,Wind,40248.05,47.57,82.98,0.729,0.945,Quantum-Safe,1,0.783,0.771,0.861,Renewable Boost,Carbon-Neutral Objective,134975.0,0.817
DC0256,Database Queries,455.14,179.13,24.58,Grid,6118.27,43.92,1823.65,0.875,0.489,Low,1,0.736,0.884,0.543,Low,Performance-Driven Strategy,174808.03,0.92
DC0257,AI Training,295.86,127.7,96.08,Wind,29266.01,88.83,575.78,0.939,0.342,High,0,0.748,0.545,0.61,Low,Energy-Efficient Focus,174670.56,0.615
DC0258,AI Training,206.42,123.17,20.09,Grid,23735.1,91.48,1648.37,0.805,0.924,Medium,0,0.866,0.606,0.504,Medium,Balanced Approach,117892.63,0.994
DC0259,Web Hosting,236.38,14.26,95.17,Hybrid,6816.75,54.37,1998.73,0.851,0.024,High,1,0.544,0.751,0.858,Medium,Balanced Approach,88821.99,0.782
DC0260,Database Queries,474.17,104.16,99.48,Wind,49047.84,39.71,462.29,0.551,0.581,Medium,1,0.834,0.51,0.672,High,Performance-Driven Strategy,130106.21,0.744
DC0261,Database Queries,85.14,30.88,71.32,Wind,11520.1,19.61,567.08,0.826,0.549,Low,0,0.948,0.626,0.893,Renewable Boost,Carbon-Neutral Objective,164551.34,0.717
DC0262,Web Hosting,297.25,147.75,98.12,Hybrid,4294.47,95.81,1342.58,0.304,0.219,Low,0,0.529,0.759,0.669,Low,Carbon-Neutral Objective,6102.16,0.67
DC0263,Database Queries,257.89,102.93,57.17,Grid,30147.52,15.42,1932.62,0.398,0.429,Low,0,0.57,0.507,0.91,Renewable Boost,Carbon-Neutral Objective,198439.42,0.917
DC0264,AI Training,309.61,136.37,26.32,Grid,37204.47,36.79,1835.84,0.317,0.652,Quantum-Safe,0,0.858,0.632,0.565,Low,Energy-Efficient Focus,40664.29,0.982
DC0265,Database Queries,18.87,9.29,43.98,Hybrid,2589.73,36.83,1030.61,0.467,0.727,Low,0,0.719,0.757,0.587,High,Energy-Efficient Focus,96698.55,0.765
DC0266,Database Queries,437.34,17.87,59.56,Grid,33277.16,38.84,1600.47,0.286,0.001,Low,0,0.702,0.787,0.67,Medium,Balanced Approach,175045.8,0.981
DC0267,IoT Processing,466.74,143.55,7.77,Grid,27082.3,24.79,314.7,0.962,0.937,Medium,0,0.568,0.963,0.704,Low,Energy-Efficient Focus,48882.88,0.93
DC0268,Cloud Storage,286.92,15.34,62.42,Hybrid,6059.99,80.48,1956.0,0.313,0.165,High,1,0.753,0.823,0.674,High,Performance-Driven Strategy,97975.07,0.792
DC0269,Database Queries,351.36,15.18,98.13,Wind,9453.67,21.02,1930.49,0.098,0.234,Low,1,0.563,0.707,0.882,Low,Balanced Approach,30853.53,0.87
DC0270,Web Hosting,462.02,3.41,19.42,Grid,28830.74,67.14,369.27,0.527,0.263,Quantum-Safe,1,0.738,0.965,0.548,Peak,Energy-Efficient Focus,82039.88,0.774
DC0271,Web Hosting,356.55,191.34,79.36,Solar,15521.52,21.15,633.88,0.057,0.038,High,1,0.882,0.892,0.676,Renewable Boost,Carbon-Neutral Objective,39541.41,0.823
DC0272,Cloud Storage,84.74,147.76,90.84,Hybrid,46977.47,16.35,245.3,0.111,0.123,Low,1,0.629,0.6,0.919,High,Balanced Approach,75907.41,0.623
DC0273,AI Training,292.38,71.3,94.4,Solar,41118.27,91.85,579.85,0.219,0.986,Medium,0,0.74,0.565,0.533,Low,Carbon-Neutral Objective,77825.52,0.879
DC0274,Database Queries,307.29,60.01,96.03,Grid,49194.79,27.11,1641.11,0.464,0.315,Medium,0,0.996,0.838,0.971,Peak,Energy-Efficient Focus,198668.3,0.621
DC0275,Cloud Storage,217.82,70.59,52.39,Hybrid,13723.87,83.91,787.72,0.433,0.115,Medium,1,0.843,0.78,0.993,Renewable Boost,Carbon-Neutral Objective,198988.54,0.927
DC0276,IoT Processing,370.86,155.16,97.74,Grid,48516.46,59.02,222.37,0.8,0.107,Medium,1,0.921,0.895,0.544,Low,Conventional,27383.32,0.93
DC0277,AI Training,467.84,132.61,75.85,Grid,22130.46,17.01,717.34,0.739,0.719,Low,0,0.707,0.869,0.646,High,Energy-Efficient Focus,146563.91,0.695
DC0278,IoT Processing,463.53,37.85,16.59,Wind,18028.42,95.99,1963.7,0.426,0.855,Medium,1,0.884,0.813,0.686,Peak,Carbon-Neutral Objective,15090.37,0.729
DC0279,Database Queries,230.91,35.65,47.95,Hybrid,3467.13,32.23,1277.88,0.334,0.257,Quantum-Safe,0,0.52,0.993,0.888,Low,Energy-Efficient Focus,10887.44,0.793
DC0280,IoT Processing,65.49,20.58,71.97,Grid,3585.5,87.37,861.51,0.316,0.021,Quantum-Safe,0,0.561,0.767,0.798,High,Balanced Approach,25540.11,0.839
DC0281,Cloud Storage,492.57,132.4,25.11,Grid,34908.55,25.19,374.75,0.774,0.223,High,1,0.602,0.557,0.822,Low,Balanced Approach,193269.7,0.715
DC0282,IoT Processing,421.06,153.11,64.24,Solar,23438.52,86.85,1973.04,0.052,0.057,High,0,0.701,0.914,0.879,Low,Balanced Approach,188468.39,0.837
DC0283,Database Queries,71.08,53.74,66.83,Wind,12099.56,11.19,1650.66,0.013,0.103,High,1,0.923,0.626,0.559,High,Energy-Efficient Focus,42815.92,0.719
DC0284,Database Queries,461.21,5.17,16.69,Solar,31084.55,56.06,598.88,0.796,0.432,High,1,0.673,0.889,0.917,Renewable Boost,Energy-Efficient Focus,36526.11,0.622
DC0285,Cloud Storage,436.25,17.35,56.73,Hybrid,13390.05,79.25,186.63,0.477,0.23,High,0,0.827,0.979,0.853,Peak,Performance-Driven Strategy,51904.34,0.601
DC0286,IoT Processing,264.23,193.6,77.28,Wind,29303.96,94.13,160.42,0.131,0.516,Quantum-Safe,1,0.855,0.848,0.789,Low,Energy-Efficient Focus,105531.66,0.64
DC0287,Database Queries,299.72,59.79,50.14,Hybrid,18601.23,91.83,284.74,0.236,0.253,Medium,0,0.793,0.798,0.945,Peak,Performance-Driven Strategy,116092.4,0.917
DC0288,Database Queries,205.51,154.08,1.7,Wind,41354.06,83.77,1182.5,0.933,0.941,Low,0,0.679,0.73,0.85,Peak,Energy-Efficient Focus,48210.72,0.985
DC0289,AI Training,36.83,125.31,1.4,Hybrid,41214.11,89.94,1861.09,0.86,0.906,Quantum-Safe,1,0.789,0.682,0.601,Renewable Boost,Energy-Efficient Focus,152541.44,0.771
DC0290,Web Hosting,174.25,77.01,36.02,Wind,24390.17,27.93,1018.65,0.71,0.567,Low,0,0.671,0.677,0.715,High,Balanced Approach,65362.87,0.805
DC0291,Database Queries,403.4,41.93,92.66,Wind,18190.14,35.58,1693.74,0.482,0.354,Medium,1,0.542,0.818,0.747,Peak,Balanced Approach,184815.61,0.659
DC0292,AI Training,12.27,25.16,23.25,Hybrid,18765.43,36.01,919.48,0.52,0.381,Medium,0,0.996,0.876,0.528,High,Energy-Efficient Focus,133060.93,0.82
DC0293,AI Training,173.41,123.39,63.62,Solar,40480.01,43.93,1431.74,0.975,0.412,Quantum-Safe,1,0.564,0.839,0.977,Low,Performance-Driven Strategy,90088.48,0.658
DC0294,Cloud Storage,205.1,155.15,22.6,Solar,17080.79,45.4,1477.15,0.966,0.728,High,1,0.536,0.599,0.564,Low,Balanced Approach,159032.84,0.844
DC0295,IoT Processing,273.32,129.14,32.51,Solar,11243.91,59.01,389.23,0.215,0.452,Low,0,0.939,0.747,0.849,Low,Performance-Driven Strategy,164493.35,0.973
DC0296,Web Hosting,460.73,106.53,84.88,Hybrid,5149.73,24.39,754.37,0.811,0.857,Quantum-Safe,0,0.651,0.896,0.753,Medium,Balanced Approach,61643.91,0.678
DC0297,Cloud Storage,179.71,9.35,73.02,Grid,23867.96,72.21,1292.74,0.197,0.944,Low,0,0.825,0.738,0.513,Medium,Conventional,71244.34,0.906
DC0298,AI Training,180.01,193.73,9.99,Solar,24624.47,25.08,187.86,0.214,0.336,High,1,0.665,0.768,0.962,High,Balanced Approach,187511.25,0.609
DC0299,AI Training,371.38,159.94,43.16,Solar,42204.53,37.93,755.0,0.676,0.561,Low,1,0.696,0.886,0.926,Peak,Energy-Efficient Focus,37124.5,0.75
DC0300,Database Queries,231.59,59.27,3.4,Wind,11840.7,55.3,1092.86,0.405,0.095,Medium,0,0.631,0.831,0.762,Medium,Energy-Efficient Focus,13219.33,0.644
DC0301,Web Hosting,120.06,196.01,48.35,Hybrid,19668.57,81.68,1992.64,0.932,0.2,High,1,0.672,0.705,0.614,Low,Energy-Efficient Focus,93540.79,0.741
